Name,Common_Weather
AZ,Fair
CA,Cloudy
CO,Cloudy
CT,Fair
FL,Fair
GA,Fair
ID,Cloudy
IL,Cloudy
IN,Cloudy
IA,Fair
KS,Cloudy
MI,Fair
MN,Fair
MO,Fair
MT,Light Precipitation
NE,Fair
NV,Cloudy
NJ,Fair
NY,Cloudy
NC,Fair
OR,Cloudy
PA,Fair
SC,Cloudy
TN,Rain
TX,Cloudy
VA,Fair
WA,Cloudy
WV,Cloudy
WI,Fair
